drug_id,drug_name,response
1,metformin,Steady
2,metformin,No
3,metformin,Up
4,metformin,Down
5,repaglinide,No
6,repaglinide,Steady
7,repaglinide,Up
8,repaglinide,Down
9,nateglinide,No
10,nateglinide,Steady
11,nateglinide,Up
12,nateglinide,Down
13,chlorpropamide,No
14,chlorpropamide,Steady
15,glimepiride,No
16,glimepiride,Steady
17,glimepiride,Down
18,glimepiride,Up
19,acetohexamide,No
20,glipizide,No
21,glipizide,Steady
22,glipizide,Up
23,glipizide,Down
24,glyburide,Steady
25,glyburide,No
26,glyburide,Down
27,glyburide,Up
28,tolbutamide,No
29,tolbutamide,Steady
30,pioglitazone,No
31,pioglitazone,Steady
32,pioglitazone,Down
33,pioglitazone,Up
34,rosiglitazone,No
35,rosiglitazone,Steady
36,rosiglitazone,Up
37,rosiglitazone,Down
38,acarbose,No
39,acarbose,Steady
40,acarbose,Up
41,acarbose,Down
42,miglitol,No
43,miglitol,Steady
44,miglitol,Down
45,miglitol,Up
46,troglitazone,No
47,tolazamide,No
48,tolazamide,Steady
49,tolazamide,Up
50,examide,No
51,citoglipton,No
52,insulin,No
53,insulin,Up
54,insulin,Steady
55,insulin,Down
56,glyburide-metformin,No
57,glyburide-metformin,Steady
58,glyburide-metformin,Down
59,glyburide-metformin,Up
60,glipizide-metformin,No
61,glipizide-metformin,Steady
62,glimepiride-pioglitazone,No
63,metformin-rosiglitazone,No
64,metformin-rosiglitazone,Steady
65,metformin-pioglitazone,No
